id,name,formula,description,category,subject
216,Positive Feedback Loop,Stimulus → Response → Enhanced stimulus,"A regulatory mechanism where the output amplifies the initial stimulus, leading to rapid change.",Principle,Biology
217,DNA Replication Rate,Rate ≈ 1000 nucleotides/second,The approximate rate at which DNA polymerase synthesizes new DNA strands during replication.,Formula,Biology
218,Transcription Rate,Rate ≈ 50-100 nucleotides/second,The approximate rate at which RNA polymerase synthesizes mRNA during transcription.,Formula,Biology
219,Translation Rate,Rate ≈ 15-20 amino acids/second,The approximate rate at which ribosomes synthesize proteins during translation.,Formula,Biology
220,DNA Base Pairing Rules,"A-T (2 H-bonds), G-C (3 H-bonds)",The specific hydrogen bonding patterns between complementary nucleotide bases in DNA double helix.,Rule,Biology
221,RNA Base Pairing Rules,"A-U, G-C (in RNA)","Base pairing rules in RNA, where uracil replaces thymine in pairing with adenine.",Rule,Biology
222,Genetic Code Degeneracy,64 codons code for 20 amino acids,"Multiple codons can code for the same amino acid, providing redundancy in genetic code.",Principle,Biology
223,Mendel's Law of Segregation,Alleles separate during gamete formation,"During gamete formation, the two alleles for a trait separate, with each gamete receiving one allele.",Law,Biology
224,Mendel's Law of Independent Assortment,Genes for different traits assort independently,Genes for different traits are inherited independently of each other during gamete formation.,Law,Biology
225,Punnett Square,2×2 grid showing all possible genotype combinations,A diagram used to predict the genotypes and phenotypes of offspring from a genetic cross.,Method,Biology
226,Chi-Square Test,χ² = Σ((O - E)²/E),Statistical test to determine if observed data matches expected Mendelian ratios.,Formula,Biology
227,Linkage and Recombination,Recombination frequency = (recombinants/total) × 100%,Genes on same chromosome are linked; recombination frequency indicates distance between genes.,Principle,Biology
228,Hardy-Weinberg Equilibrium Conditions,"No mutation, migration, selection, genetic drift, or non-random mating",Five conditions required for allele frequencies to remain constant from generation to generation.,Principle,Biology
229,Natural Selection,differential survival and reproduction of individuals with favorable traits,The mechanism of evolution where organisms with advantageous traits are more likely to survive and reproduce.,Principle,Biology
230,Fitness,Relative reproductive success,"The ability of an organism to survive and reproduce in its environment, relative to others.",Concept,Biology
231,Selection Coefficient,s = 1 - w,"The reduction in fitness of a genotype relative to the fittest genotype, where w is relative fitness.",Formula,Biology
232,Mutation Rate,μ = mutations per generation per base pair,The frequency at which mutations occur in DNA sequences.,Formula,Biology
233,Genetic Drift,Random changes in allele frequencies due to sampling,The random fluctuation of allele frequencies in small populations due to chance events.,Principle,Biology
234,Founder Effect,Small founding population → reduced genetic diversity,"When a small group establishes a new population, genetic diversity is reduced compared to source population.",Principle,Biology
235,Bottleneck Effect,Population crash → reduced genetic diversity,"When a population undergoes severe reduction, genetic diversity decreases dramatically.",Principle,Biology
236,Gene Flow,Migration introduces new alleles,The transfer of genetic variation from one population to another through migration.,Principle,Biology
237,Speciation,Reproductive isolation → new species,"The process by which populations evolve to become distinct species, typically through reproductive isolation.",Principle,Biology
238,Allopatric Speciation,Geographic isolation → speciation,Speciation that occurs when populations are geographically separated.,Principle,Biology
239,Sympatric Speciation,Speciation without geographic isolation,"Speciation that occurs in the same geographic area, often through polyploidy or habitat specialization.",Principle,Biology
240,Ecological Niche,The role and position of a species in its environment,"The ecological role of a species, including its habitat, resources used, and interactions with other species.",Concept,Biology
241,Trophic Level Efficiency,Efficiency ≈ 10%,Only about 10% of energy is transferred from one trophic level to the next in food chains.,Principle,Biology
242,Carrying Capacity,K = maximum population size environment can support,The maximum number of individuals of a species that an environment can sustain indefinitely.,Concept,Biology
243,Exponential Growth,dN/dt = rN,"Population growth when resources are unlimited, resulting in exponential increase.",Formula,Biology
244,Logistic Growth,dN/dt = rN(1 - N/K),"Population growth with carrying capacity, showing S-shaped curve.",Formula,Biology
245,Intrinsic Growth Rate,r = birth rate - death rate,The maximum per capita growth rate of a population under ideal conditions.,Formula,Biology
246,Biomass Pyramid,Producers > Primary consumers > Secondary consumers,The decrease in total biomass at each successive trophic level in an ecosystem.,Principle,Biology
247,Primary Productivity,GPP = NPP + R,Gross primary productivity equals net primary productivity plus respiration.,Formula,Biology
248,Net Primary Productivity,NPP = GPP - R,The rate at which energy is stored by producers after accounting for respiration.,Formula,Biology
249,Carbon Cycle,CO₂ ↔ Organic compounds ↔ CO₂,"The biogeochemical cycle by which carbon moves between atmosphere, organisms, and Earth.",Principle,Biology
250,Nitrogen Cycle,N₂ → NH₃ → NO₂⁻ → NO₃⁻ → Organic N,The biogeochemical cycle converting atmospheric nitrogen into forms usable by organisms.,Principle,Biology
251,Phosphorus Cycle,Rocks → Soil → Plants → Animals → Decomposers,"The biogeochemical cycle moving phosphorus through lithosphere, hydrosphere, and biosphere.",Principle,Biology
252,Water Cycle,Evaporation → Condensation → Precipitation → Runoff,"The continuous movement of water through Earth's systems via evaporation, condensation, and precipitation.",Principle,Biology
253,Osmotic Pressure,π = iMRT,"The pressure required to prevent osmosis, where i is van't Hoff factor, M is molarity.",Formula,Biology
254,Osmosis,Water moves from low to high solute concentration,The passive movement of water across a semipermeable membrane from low to high solute concentration.,Principle,Biology
255,Diffusion,J = -D(dC/dx),"The passive movement of particles from high to low concentration, following Fick's law.",Principle,Biology
256,Active Transport,Requires ATP to move against concentration gradient,"The movement of molecules across membrane against concentration gradient, requiring energy input.",Principle,Biology
257,Facilitated Diffusion,Passive transport via carrier proteins,The passive movement of molecules across membrane through protein channels or carriers.,Principle,Biology
258,Enzyme Kinetics - Vmax,V_max = k_cat[E]_total,The maximum reaction rate when enzyme is saturated with substrate.,Formula,Biology
259,Enzyme Kinetics - Km,K_m = (k_{-1} + k_2)/k_1,"The Michaelis constant, equal to substrate concentration at half-maximal velocity.",Constant,Biology
260,Enzyme Efficiency,k_cat/K_m,"The catalytic efficiency of an enzyme, measuring how well it converts substrate to product.",Formula,Biology
261,Lineweaver-Burk Plot,1/v = (K_m/V_max)(1/[S]) + 1/V_max,Double reciprocal plot used to determine V_max and K_m from enzyme kinetics data.,Method,Biology
262,Allosteric Regulation,Binding at one site affects activity at another site,Regulation of enzyme activity through binding of effector molecules at sites other than active site.,Principle,Biology
263,Cooperativity,Binding of one ligand increases affinity for others,The phenomenon where binding of one substrate molecule increases enzyme's affinity for additional substrates.,Principle,Biology
264,Hill Coefficient,n_H = measure of cooperativity,A measure of cooperativity in enzyme kinetics; n_H > 1 indicates positive cooperativity.,Formula,Biology
265,Gibbs Free Energy in Biochemistry,ΔG = ΔG°' + RT ln([products]/[reactants]),"The change in free energy for biochemical reactions, accounting for standard conditions and concentrations.",Formula,Biology
266,ATP Hydrolysis,"ATP + H₂O → ADP + Pᵢ, ΔG ≈ -30.5 kJ/mol",The hydrolysis of ATP releases energy used to drive endergonic reactions in cells.,Equation,Biology
267,Redox Potential,E = E°' - (RT/nF)ln([reduced]/[oxidized]),"The tendency of a chemical species to gain electrons, determining direction of redox reactions.",Formula,Biology
268,Glycolysis Net ATP,2 ATP per glucose molecule,"The net ATP production from glycolysis, producing 4 ATP but consuming 2 ATP.",Formula,Biology
269,Citric Acid Cycle ATP Yield,"1 ATP, 3 NADH, 1 FADH₂ per acetyl-CoA",The energy carriers produced per turn of citric acid cycle from one acetyl-CoA molecule.,Formula,Biology
270,Oxidative Phosphorylation ATP,"~2.5 ATP per NADH, ~1.5 ATP per FADH₂",The approximate ATP yield from electron transport chain per reduced coenzyme.,Formula,Biology
271,Total ATP from Glucose,~30-32 ATP per glucose molecule,The total ATP yield from complete oxidation of one glucose molecule through cellular respiration.,Formula,Biology
272,Calvin Cycle,3 CO₂ + 9 ATP + 6 NADPH → G3P + 9 ADP + 6 NADP⁺,The light-independent reactions of photosynthesis that fix carbon dioxide into organic molecules.,Equation,Biology
273,Light Reactions,H₂O + NADP⁺ + ADP + Pᵢ → O₂ + NADPH + ATP,The light-dependent reactions of photosynthesis that produce ATP and NADPH.,Equation,Biology
274,Chlorophyll Absorption,Absorbs red (680nm) and blue (430nm) light,"Chlorophyll molecules absorb light most efficiently in red and blue wavelengths, reflecting green.",Principle,Biology
275,Action Spectrum,Rate of photosynthesis vs wavelength,The effectiveness of different wavelengths of light in driving photosynthesis.,Concept,Biology
276,Photorespiration,Rubisco fixes O₂ instead of CO₂,"A wasteful process where rubisco binds oxygen instead of carbon dioxide, reducing photosynthetic efficiency.",Principle,Biology
277,C4 Photosynthesis,CO₂ fixed into 4-carbon compound first,A photosynthetic pathway that minimizes photorespiration by initially fixing CO₂ into 4-carbon compounds.,Principle,Biology
278,CAM Photosynthesis,"CO₂ fixed at night, used during day",Crassulacean acid metabolism where plants fix CO₂ at night and use it during the day to minimize water loss.,Principle,Biology
279,Avogadro's Law,V ∝ n (at constant T and P),Equal volumes of gases at the same temperature and pressure contain equal numbers of molecules.,Law,Chemistry
280,Avogadro's Number,N_A = 6.022 × 10²³ mol⁻¹,"The number of particles (atoms, molecules, ions) in one mole of a substance.",Constant,Chemistry
281,Ideal Gas Law,PV = nRT,"The relationship between pressure, volume, temperature, and number of moles of an ideal gas.",Law,Chemistry
282,Combined Gas Law,P₁V₁/T₁ = P₂V₂/T₂,"Combines Boyle's, Charles's, and Gay-Lussac's laws into a single equation.",Law,Chemistry
283,Dalton's Law of Partial Pressures,P_total = P₁ + P₂ + P₃ + ...,The total pressure of a mixture of gases equals the sum of the partial pressures of the individual gases.,Law,Chemistry
284,Graham's Law of Effusion,Rate₁/Rate₂ = √(M₂/M₁),The rate of effusion of a gas is inversely proportional to the square root of its molar mass.,Law,Chemistry
285,Raoult's Law,P = X_solvent × P°_solvent,The vapor pressure of a solution is proportional to the mole fraction of the solvent.,Law,Chemistry
286,Henry's Law,C = k_H × P,The amount of gas dissolved in a liquid is proportional to the partial pressure of the gas above the liquid.,Law,Chemistry
287,Hess's Law,ΔH_reaction = ΣΔH_products - ΣΔH_reactants,The total enthalpy change for a reaction is independent of the pathway taken.,Law,Chemistry
288,First Law of Thermodynamics (Chemistry),ΔU = q + w,The change in internal energy equals the heat added to the system plus the work done on the system.,Law,Chemistry
289,Gibbs Free Energy,ΔG = ΔH - TΔS,"The energy available to do work in a chemical reaction, determining spontaneity.",Formula,Chemistry
290,Entropy Change,ΔS = q_rev/T,"The measure of disorder or randomness in a system, related to reversible heat transfer.",Formula,Chemistry
291,Arrhenius Equation,k = Ae^(-E_a/RT),"Describes the temperature dependence of reaction rates, where E_a is activation energy.",Equation,Chemistry
292,Rate Law,Rate = k[A]^m[B]^n,The rate of a chemical reaction is proportional to the concentrations of reactants raised to their reaction orders.,Law,Chemistry
293,Equilibrium Constant (Kc),Kc = [C]^c[D]^d / [A]^a[B]^b,"The ratio of product concentrations to reactant concentrations at equilibrium, each raised to their stoichiometric coefficients.",Constant,Chemistry
294,Equilibrium Constant (Kp),Kp = (P_C^c)(P_D^d) / (P_A^a)(P_B^b),The equilibrium constant expressed in terms of partial pressures for gas-phase reactions.,Constant,Chemistry
295,Le Chatelier's Principle,System responds to minimize stress,"When a system at equilibrium is disturbed, it shifts to counteract the disturbance and restore equilibrium.",Principle,Chemistry
296,pH Formula,pH = -log[H⁺],"The negative logarithm of the hydrogen ion concentration, measuring acidity.",Formula,Chemistry
297,pOH Formula,pOH = -log[OH⁻],The negative logarithm of the hydroxide ion concentration.,Formula,Chemistry
298,pH + pOH Relationship,pH + pOH = 14 (at 25°C),The sum of pH and pOH equals 14 for aqueous solutions at standard temperature.,Formula,Chemistry
299,Ion Product of Water,K_w = [H⁺][OH⁻] = 1.0 × 10⁻¹⁴,The product of hydrogen and hydroxide ion concentrations in water at 25°C.,Constant,Chemistry
300,Acid Dissociation Constant (Ka),Ka = [H⁺][A⁻] / [HA],The equilibrium constant for the dissociation of a weak acid.,Constant,Chemistry
301,Base Dissociation Constant (Kb),Kb = [OH⁻][BH⁺] / [B],The equilibrium constant for the dissociation of a weak base.,Constant,Chemistry
302,Henderson-Hasselbalch Equation,pH = pKa + log([A⁻]/[HA]),Relates the pH of a buffer solution to the pKa and the ratio of conjugate base to acid.,Equation,Chemistry
303,Nernst Equation (Electrochemistry),E = E° - (RT/nF)ln(Q),Calculates the cell potential under non-standard conditions based on the reaction quotient.,Equation,Chemistry
304,Faraday's Law of Electrolysis,m = (M × I × t) / (n × F),The mass of substance deposited or liberated at an electrode is proportional to the charge passed.,Law,Chemistry
305,Standard Cell Potential,E°_cell = E°_cathode - E°_anode,The difference between standard reduction potentials of cathode and anode half-cells.,Formula,Chemistry
306,Free Energy and Cell Potential,ΔG = -nFE,The relationship between Gibbs free energy change and cell potential.,Formula,Chemistry
307,Molarity,M = n/V,The number of moles of solute per liter of solution.,Formula,Chemistry
308,Molality,m = n_solute / m_solvent (kg),The number of moles of solute per kilogram of solvent.,Formula,Chemistry
309,Mole Fraction,X_A = n_A / (n_A + n_B + ...),The ratio of the number of moles of a component to the total number of moles in the mixture.,Formula,Chemistry
310,Percent Composition,% = (mass of element / mass of compound) × 100,The percentage by mass of each element in a compound.,Formula,Chemistry
311,Empirical Formula,Simplest whole number ratio of atoms,"The simplest ratio of elements in a compound, determined from percent composition.",Formula,Chemistry
312,Molecular Formula,Molecular formula = (Empirical formula) × n,"The actual number of atoms of each element in a molecule, a multiple of the empirical formula.",Formula,Chemistry
313,Stoichiometry,Based on balanced chemical equation coefficients,The quantitative relationship between reactants and products in a chemical reaction.,Principle,Chemistry
314,Limiting Reactant,The reactant that is completely consumed first,The reactant that determines the maximum amount of product that can be formed in a reaction.,Concept,Chemistry
315,Theoretical Yield,Based on limiting reactant and stoichiometry,The maximum amount of product that can be obtained from a reaction under ideal conditions.,Concept,Chemistry
316,Percent Yield,% Yield = (Actual yield / Theoretical yield) × 100,"The ratio of actual yield to theoretical yield, expressed as a percentage.",Formula,Chemistry
317,Beer-Lambert Law,A = εlc,The absorbance of light is proportional to the concentration and path length of the absorbing species.,Law,Chemistry
318,Planck's Constant,h = 6.626 × 10⁻³⁴ J·s,The fundamental constant relating the energy of a photon to its frequency.,Constant,Chemistry
319,Rydberg Formula,1/λ = R(1/n₁² - 1/n₂²),Calculates the wavelength of light emitted or absorbed when an electron transitions between energy levels.,Formula,Chemistry
320,de Broglie Wavelength (Chemistry),λ = h/(mv),"All matter exhibits wave-like properties, with wavelength inversely proportional to momentum.",Principle,Chemistry
321,Heisenberg Uncertainty Principle (Chemistry),Δx·Δp ≥ h/(4π),It is impossible to simultaneously know the exact position and momentum of an electron.,Principle,Chemistry
322,Aufbau Principle,Electrons fill orbitals from lowest to highest energy,Electrons are added to atomic orbitals starting with the lowest energy level.,Principle,Chemistry
323,Hund's Rule,Electrons fill degenerate orbitals singly before pairing,"When filling orbitals of equal energy, electrons occupy separate orbitals with parallel spins before pairing.",Rule,Chemistry
324,Pauli Exclusion Principle (Chemistry),No two electrons can have the same set of four quantum numbers,Each electron in an atom must have a unique set of quantum numbers.,Principle,Chemistry
325,Bohr Model Energy Levels,E_n = -13.6/n² eV,The energy of an electron in the nth energy level of a hydrogen atom.,Formula,Chemistry
326,Ideal Gas Constant,R = 0.0821 L·atm/(mol·K) = 8.314 J/(mol·K),"The proportionality constant in the ideal gas law, relating pressure, volume, temperature, and moles.",Constant,Chemistry
327,Van der Waals Equation,(P + a(n/V)²)(V - nb) = nRT,Modified ideal gas law accounting for molecular size and intermolecular forces.,Equation,Chemistry
328,Dalton's Law,P_total = P₁ + P₂ + P₃ + ...,The total pressure of a gas mixture equals the sum of partial pressures of individual gases.,Law,Chemistry
329,Gay-Lussac's Law,P/T = constant (at constant V),The pressure of a gas is directly proportional to its absolute temperature at constant volume.,Law,Chemistry
330,Avogadro's Number,N_A = 6.022 × 10²³ particles/mol,"The number of atoms, molecules, or ions in one mole of a substance.",Constant,Chemistry
331,Molar Mass,M = m/n,"The mass of one mole of a substance, equal to mass divided by number of moles.",Formula,Chemistry
332,Density,ρ = m/V,The mass per unit volume of a substance.,Formula,Chemistry
333,Concentration (Molarity),M = n/V,The number of moles of solute per liter of solution.,Formula,Chemistry
334,Dilution Formula,M₁V₁ = M₂V₂,The relationship between concentrations and volumes before and after dilution.,Formula,Chemistry
335,Mass Percent,% = (mass solute / mass solution) × 100,The percentage by mass of solute in a solution.,Formula,Chemistry
336,Parts Per Million,ppm = (mass solute / mass solution) × 10⁶,The concentration expressed as parts per million.,Formula,Chemistry
337,Colligative Properties - Boiling Point Elevation,ΔT_b = K_b × m,The increase in boiling point is proportional to molality of solute particles.,Formula,Chemistry
338,Colligative Properties - Freezing Point Depression,ΔT_f = K_f × m,The decrease in freezing point is proportional to molality of solute particles.,Formula,Chemistry
339,Osmotic Pressure,π = MRT,"The pressure required to prevent osmosis, proportional to molarity and temperature.",Formula,Chemistry
340,Van't Hoff Factor,i = actual particles / formula units,The number of particles a compound dissociates into in solution.,Formula,Chemistry
341,Reaction Rate,Rate = -Δ[A]/Δt = Δ[P]/Δt,The change in concentration of reactants or products per unit time.,Formula,Chemistry
342,Rate Constant,k = rate / [A]^m[B]^n,"The proportionality constant in the rate law, temperature-dependent.",Constant,Chemistry
343,Reaction Order,Overall order = m + n,"The sum of exponents in the rate law, determining how concentration affects rate.",Concept,Chemistry
344,Half-Life (First Order),t₁/₂ = ln(2)/k = 0.693/k,The time required for half of reactant to be consumed in a first-order reaction.,Formula,Chemistry
345,Half-Life (Second Order),t₁/₂ = 1/(k[A]₀),The time required for half of reactant to be consumed in a second-order reaction.,Formula,Chemistry
346,Activation Energy,E_a = energy barrier for reaction,The minimum energy required for reactants to form products.,Concept,Chemistry
347,Catalyst Effect,"Lowers activation energy, increases rate",Catalysts speed up reactions by providing alternative pathway with lower activation energy.,Principle,Chemistry
348,Reaction Quotient,Q = [C]^c[D]^d / [A]^a[B]^b,The ratio of product to reactant concentrations at any point in reaction.,Formula,Chemistry
349,Equilibrium Constant from ΔG,K = e^(-ΔG°/RT),The relationship between standard free energy change and equilibrium constant.,Formula,Chemistry
350,Reaction Direction Prediction,"If Q < K, forward; Q > K, reverse; Q = K, equilibrium",Comparison of reaction quotient to equilibrium constant predicts reaction direction.,Principle,Chemistry
351,Common Ion Effect,Adding common ion decreases solubility,The solubility of a salt decreases when a common ion is added to the solution.,Principle,Chemistry
352,Solubility Product Constant,K_sp = [A⁺]^m[B⁻]^n,The equilibrium constant for dissolution of a sparingly soluble salt.,Constant,Chemistry
353,Ion Product,IP = [A⁺]^m[B⁻]^n,The product of ion concentrations raised to their stoichiometric coefficients.,Formula,Chemistry
354,Precipitation Prediction,"If IP > K_sp, precipitate forms",Comparison of ion product to solubility product predicts precipitation.,Principle,Chemistry
355,Bronsted-Lowry Acid,HA → H⁺ + A⁻,A substance that donates protons (H⁺ ions) in aqueous solution.,Definition,Chemistry
356,Bronsted-Lowry Base,B + H⁺ → BH⁺,A substance that accepts protons (H⁺ ions) in aqueous solution.,Definition,Chemistry
357,Conjugate Acid-Base Pair,HA/A⁻ or BH⁺/B,"Two species differing by one proton; when acid loses H⁺, it becomes conjugate base.",Concept,Chemistry
358,Autoionization of Water,H₂O ⇌ H⁺ + OH⁻,"Water molecules can act as both acid and base, producing hydronium and hydroxide ions.",Principle,Chemistry
359,pKa,pKa = -log(Ka),"The negative logarithm of acid dissociation constant, indicating acid strength.",Formula,Chemistry
360,pKb,pKb = -log(Kb),"The negative logarithm of base dissociation constant, indicating base strength.",Formula,Chemistry
361,Relationship Between Ka and Kb,Ka × Kb = Kw,"For a conjugate acid-base pair, the product of Ka and Kb equals Kw.",Formula,Chemistry
362,Buffer Capacity,Maximum resistance to pH change,"The ability of a buffer to resist pH changes, greatest when pH = pKa.",Concept,Chemistry
363,Buffer Range,pH = pKa ± 1,"The effective pH range of a buffer, typically within one pH unit of pKa.",Formula,Chemistry
364,Titration Equivalence Point,Moles acid = Moles base,The point in titration where stoichiometrically equivalent amounts of acid and base have reacted.,Concept,Chemistry
365,Titration End Point,Indicator color change,"The point where indicator changes color, ideally matching equivalence point.",Concept,Chemistry
366,Redox Reaction,Oxidation + Reduction,A reaction involving transfer of electrons from one species to another.,Concept,Chemistry
367,Oxidation Number Rules,Sum of oxidation numbers = charge,"Rules for assigning oxidation numbers: elements = 0, monatomic ions = charge, etc.",Rule,Chemistry
368,Balancing Redox Reactions,"Balance atoms, then electrons",Method for balancing redox reactions using half-reactions and electron transfer.,Method,Chemistry
369,Standard Reduction Potential,E° = tendency to gain electrons,The tendency of a species to gain electrons under standard conditions.,Concept,Chemistry
370,Cell Potential,E°_cell = E°_cathode - E°_anode,The potential difference between cathode and anode in an electrochemical cell.,Formula,Chemistry
371,Spontaneity from E°,"If E°_cell > 0, reaction is spontaneous",A positive cell potential indicates a spontaneous redox reaction.,Principle,Chemistry
372,Free Energy from Cell Potential,ΔG° = -nFE°,The relationship between standard free energy change and standard cell potential.,Formula,Chemistry
373,Faraday Constant,"F = 96,485 C/mol","The charge of one mole of electrons, used in electrochemical calculations.",Constant,Chemistry
374,Electrolysis - Moles from Charge,n = Q/(n_e × F),The number of moles produced in electrolysis from charge passed and electrons per mole.,Formula,Chemistry
375,Bond Energy,Energy to break one mole of bonds,"The energy required to break a chemical bond, typically in kJ/mol.",Concept,Chemistry
376,Bond Length,Distance between bonded nuclei,The average distance between nuclei of two bonded atoms.,Concept,Chemistry
377,Bond Order,Number of electron pairs between atoms,"The number of chemical bonds between two atoms: single = 1, double = 2, triple = 3.",Concept,Chemistry
378,Hybridization,"sp, sp², sp³, sp³d, sp³d²",The mixing of atomic orbitals to form hybrid orbitals for bonding.,Concept,Chemistry
379,VSEPR Theory,"Electron pairs repel, minimize repulsion",Valence shell electron pair repulsion theory predicts molecular geometry.,Theory,Chemistry
380,Molecular Geometry,Based on number of electron domains,"The three-dimensional arrangement of atoms in a molecule, predicted by VSEPR theory.",Concept,Chemistry
381,Dipole Moment,μ = q × d,"The measure of molecular polarity, product of charge and distance.",Formula,Chemistry
382,Intermolecular Forces,"London, dipole-dipole, hydrogen bonding","Forces between molecules: dispersion forces, dipole interactions, and hydrogen bonds.",Concept,Chemistry
383,Hydrogen Bonding,"H bonded to N, O, or F",Strong dipole-dipole interaction when hydrogen is bonded to highly electronegative atoms.,Concept,Chemistry
384,London Dispersion Forces,Temporary dipoles from electron movement,Weak intermolecular forces from temporary charge separation due to electron motion.,Concept,Chemistry
385,Crystal Lattice Energy,Energy to separate ions to infinity,The energy required to completely separate one mole of solid ionic compound into gaseous ions.,Concept,Chemistry
386,Born-Haber Cycle,Sum of energy changes = lattice energy,A thermodynamic cycle relating lattice energy to other energy changes in ionic compound formation.,Method,Chemistry
387,Coordination Number,Number of ligands bonded to central atom,"The number of atoms, ions, or molecules bonded to the central atom in a complex.",Concept,Chemistry
388,Crystal Field Theory,Ligands split d-orbital energies,Theory explaining color and magnetic properties of transition metal complexes.,Theory,Chemistry
389,Spectrochemical Series,I⁻ < Br⁻ < Cl⁻ < F⁻ < OH⁻ < ... < CN⁻,Ordering of ligands by their ability to split d-orbital energy levels.,Principle,Chemistry
390,Isomerism,"Same formula, different structure",Compounds with same molecular formula but different arrangements of atoms.,Concept,Chemistry
391,Stereoisomers,"Same connectivity, different spatial arrangement",Isomers with same atom connectivity but different three-dimensional orientations.,Concept,Chemistry
392,Enantiomers,Mirror image stereoisomers,Stereoisomers that are non-superimposable mirror images of each other.,Concept,Chemistry
393,Diastereomers,Non-mirror image stereoisomers,Stereoisomers that are not mirror images of each other.,Concept,Chemistry
394,Optical Activity,Ability to rotate plane-polarized light,The property of chiral molecules to rotate the plane of polarized light.,Concept,Chemistry
395,Specific Rotation,[α] = α/(l × c),The rotation of plane-polarized light per unit path length and concentration.,Formula,Chemistry
396,R/S Nomenclature,Priority rules for chiral centers,System for naming enantiomers based on spatial arrangement of substituents.,Rule,Chemistry
397,E/Z Nomenclature,Priority rules for double bonds,System for naming geometric isomers around double bonds.,Rule,Chemistry
398,Nucleophilic Substitution,Nu⁻ + R-X → R-Nu + X⁻,Reaction where nucleophile replaces leaving group in organic molecule.,Reaction,Chemistry
399,SN1 Mechanism,"Unimolecular, two-step, carbocation intermediate",Substitution mechanism involving rate-determining formation of carbocation.,Mechanism,Chemistry
400,SN2 Mechanism,"Bimolecular, one-step, inversion of configuration",Substitution mechanism involving simultaneous bond breaking and formation.,Mechanism,Chemistry
401,Elimination Reaction,E1 or E2 mechanism,Reaction removing atoms or groups to form double or triple bonds.,Reaction,Chemistry
402,Markovnikov's Rule,H adds to carbon with more H's,"In addition to alkenes, hydrogen adds to carbon with more hydrogens.",Rule,Chemistry
403,Zaitsev's Rule,Most substituted alkene is major product,"In elimination reactions, the most stable (most substituted) alkene is favored.",Rule,Chemistry
404,Aromaticity,"4n + 2 π electrons, planar, cyclic",Special stability of cyclic conjugated systems meeting Hückel's rule.,Concept,Chemistry
405,Hückel's Rule,4n + 2 π electrons for aromaticity,Aromatic compounds have 4n+2 delocalized π electrons in a planar ring.,Rule,Chemistry
406,Electrophilic Aromatic Substitution,E⁺ + Ar-H → Ar-E + H⁺,Reaction where electrophile replaces hydrogen on aromatic ring.,Reaction,Chemistry
407,Directing Effects,Ortho/para vs meta directors,Substituents on benzene ring direct incoming groups to specific positions.,Principle,Chemistry
408,Aldol Condensation,Carbonyl + enolate → β-hydroxy carbonyl,Reaction between carbonyl compounds forming carbon-carbon bonds.,Reaction,Chemistry
409,Grignard Reaction,R-Mg-X + C=O → R-C-OH,Reaction of Grignard reagents with carbonyl compounds to form alcohols.,Reaction,Chemistry
410,Diels-Alder Reaction,Diene + Dienophile → Cyclohexene,Cycloaddition reaction between conjugated diene and alkene to form six-membered ring.,Reaction,Chemistry
411,Wittig Reaction,Carbonyl + Phosphorus ylide → Alkene,Reaction converting carbonyl groups to alkenes using phosphorus ylides.,Reaction,Chemistry
412,Retrosynthetic Analysis,Working backwards from target molecule,Strategy for planning organic synthesis by breaking bonds in target molecule.,Method,Chemistry
413,Protecting Groups,Temporarily block reactive functional groups,Groups used to protect reactive sites during multi-step synthesis.,Concept,Chemistry
414,Green Chemistry Principles,12 principles for sustainable chemistry,Guidelines for designing chemical processes that minimize environmental impact.,Principle,Chemistry
415,Atom Economy,% = (MW of desired product / MW of all reactants) × 100,The percentage of reactant atoms incorporated into the final product.,Formula,Chemistry
416,E-Factor,E = mass waste / mass product,Environmental factor measuring waste generated per unit of product.,Formula,Chemistry
